Keys,Mesor,Mesor SE,Amplitude,Amplitude SE,Acrophase,Acrophase SE,RSS,MSS,F statistic,p-value
nni_counter,347.3743813285274,21.05024219934149,116.60162438685589,29.79042208165227,4.041798496055449,0.9746486072374945,13180176.002257686,162934.04176073696,0.12980156245217717,0.8789688614277278
nni_mean,587.6962389419424,23.21011848864422,127.55841910077987,33.03388727667579,18.3103445923783,0.9767113161333427,15768245.911902834,192764.21453583235,0.12836077417453154,0.8802207807225169
nni_min,461.429504030037,10.66086020246471,36.76603452466587,15.081594429649611,15.93197367019226,1.566053716017479,2152774.779962025,16211.615831751053,0.07907095893997271,0.9242481150163842
nni_max,1492.7655981792984,215.7795410156954,1137.5426272981465,307.17615360983456,18.62729337714677,1.0179888966797799,1298654199.0716946,15323173.794653945,0.12389235329841952,0.8841158855640537
nni_diff_mean,77.43937085894483,16.987024040589056,52.86944074063571,24.183243663594727,18.890915941131652,1.7243528865821074,5078682.636502474,33096.47303153426,0.06842580875863329,0.934070075790547
nni_diff_min,-3.2160487532968494e-19,2.379711554970999e-19,1.4607592925452895e-18,3.343340293647175e-19,12.999999997689274,1.6187324654208583e-09,6.849295753039831e-34,2.853873230433263e-35,0.4375,0.6514002890114736
nni_diff_max,925.8172505089389,207.97727015929607,1008.1073820234814,296.0745110817394,18.67710101850281,1.107143933889885,1100786304.834806,12034019.53478358,0.11478813331910946,0.8921105443416826
hr_mean,109.43059329291177,3.2241057796228647,18.292895986307514,4.583936577569996,5.627559161800775,0.9470836780051238,316419.36395787867,3972.834232771772,0.1318337756650589,0.8772063594817814
hr_min,67.81868689572646,5.353597847877658,37.269477663478696,7.608131303624448,5.421565712138431,0.7722451894418737,1138940.5929648334,16506.094654411376,0.15217123258392,0.8597796864680465
hr_max,131.70879020120063,2.7227033929667828,9.612022364301147,3.8426832031830185,3.2445954294712678,1.5334257995223755,143096.28133894072,1113.2592918770779,0.08168781505245402,0.9218509790192511
